Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
4/8/2020,704,36,173,11,86,100,107,154,129,69,48,0,320,347,37,171,21,299,103,32,78,0,0,0,1,7,8,9,11,0,13,23,0,3,2,22,9,0,0,1,1,14,16,37,41,37,26,0,64,108,1,38,5,88,30,12,0
8/17/2020,491,3,27,69,141,84,72,63,29,23,10,0,236,250,5,260,9,75,90,14,43,0,0,0,0,1,0,1,1,0,1,2,0,0,0,2,1,0,0,0,1,2,5,7,5,6,1,0,13,14,0,8,0,14,4,1,0
11/4/2020,"2,440",8,102,302,671,545,356,285,171,83,27,0,"1,243","1,182",15,872,58,332,505,110,563,0,0,0,0,0,1,2,5,0,5,3,0,5,0,1,2,0,0,5,4,5,11,23,18,27,9,0,53,49,0,29,2,38,25,5,3
8/20/2020,398,3,22,46,113,76,59,58,32,10,4,0,221,175,2,172,6,69,86,16,49,0,0,0,1,0,2,0,0,0,2,1,0,2,0,0,1,0,0,0,4,5,4,3,4,1,1,0,12,10,0,11,1,4,6,0,0
7/24/2020,347,3,26,38,103,77,47,39,21,11,11,0,197,148,2,128,12,74,67,12,54,0,0,1,0,1,1,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0,6,3,4,2,5,0,13,13,0,8,1,13,4,0,0
,301,1,361,11,64,50,48,40,30,12,6,40,154,124,23,62,9,72,49,11,98,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,20,55,50,54,63,53,33,33,0,175,181,5,127,17,125,53,21,18
9/6/2020,141,2,12,16,43,29,17,18,10,3,5,0,72,68,1,55,0,27,36,3,20,0,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,1,2,0,3,2,3,0,8,4,0,4,0,4,1,0,3
10/14/2020,838,3,37,71,244,208,137,89,62,19,8,0,454,381,3,326,19,129,170,33,161,0,0,0,0,0,0,1,2,0,2,1,0,1,0,0,2,0,0,1,3,0,5,8,5,10,5,0,17,20,0,7,0,14,11,1,4
5/19/2020,891,27,99,78,211,171,148,131,85,39,28,0,450,435,6,426,13,140,72,41,199,0,1,1,3,6,5,6,5,0,8,19,0,10,2,11,3,0,1,5,5,13,15,21,17,12,11,0,50,49,0,41,2,35,12,3,6
3/13/2020,32,0,12,0,4,13,5,5,5,0,0,0,8,24,0,4,2,4,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,5,2,0,0,6,6,0,2,0,5,5,0,0
